;efficiency;marginal_cost;p_nom;carrier;p_max_pu
3371 biomass;0.4699999999999996;14.893617021276583;20.5691;biomass;1.0
3371 onwind;1.0;2.0;206.57330878461036;onshore wind;0.08529680316279699
3371 ror;0.9;3.0;44.06;run of river;0.6608531105671127
3371 solar;1.0;1.0;324.9671911553155;solar;0.15953360582966522
3372 CCGT;0.5867942430703624;38.45391478762312;1822.0;CCGT;1.0
3372 biomass;0.4699999999999999;14.893617021276606;25.054;biomass;1.0
3372 onwind;1.0;2.0;36.48015144695077;onshore wind;0.08275254922535571
3372 ror;0.9;3.0;43.1;run of river;0.6608531105671128
3372 solar;1.0;1.0;241.1297495137584;solar;0.12599079778376956
3373 OCGT;0.3806;57.31135049921178;25.4;OCGT;1.0
3373 biomass;0.47;14.893617021276597;19.551499999999997;biomass;1.0
3373 onwind;1.0;2.0;43.33307601426595;onshore wind;0.07033718449583662
3373 ror;0.9;3.0;0.198;run of river;0.6608531105671128
3373 solar;1.0;1.0;278.14049742840496;solar;0.08307239042970276
3374 biomass;0.47;14.893617021276599;36.5694;biomass;1.0
3374 coal;0.33;28.196969696969695;436.99811741094464;coal;1.0
3374 onwind;1.0;2.0;31.978020635482906;onshore wind;0.08700775623125966
3374 ror;0.9;3.0;25.0;run of river;0.6608531105671129
3374 solar;1.0;1.0;283.33390691711406;solar;0.11682174690695656
3375 biomass;0.4699999999999997;14.8936170212766;66.7757;biomass;1.0
3375 onwind;1.0;2.0;88.64334448866101;onshore wind;0.10782401933712683
3375 ror;0.9;3.0;0.535;run of river;0.6608531105671128
3375 solar;1.0;1.0;349.8432833576598;solar;0.08079319821694537
3378 biomass;0.47;14.893617021276606;13.576999999999998;biomass;1.0
3378 onwind;1.0;2.0;8.408172182679447;onshore wind;0.09626834130017613
3378 ror;0.9;3.0;0.055;run of river;0.6608531105671128
3378 solar;1.0;1.0;55.81101919246759;solar;0.11388179135114204
3379 CCGT;0.5123580303727566;43.43037955582861;651.9;CCGT;1.0
3379 OCGT;0.4058999999999999;54.01958610495197;27.1;OCGT;1.0
3379 biomass;0.46999999999999975;14.893617021276611;77.57880000000003;biomass;1.0
3379 coal;0.33;28.196969696969695;336.50698914555863;coal;1.0
3379 onwind;1.0;2.0;32.959526712761686;onshore wind;0.08759040232318906
3379 ror;0.9000000000000001;3.0;89.369;run of river;0.6608531105671127
3379 solar;1.0;1.0;359.39573219766584;solar;0.0925614583930422
3380 OCGT;0.4059;54.01958610495196;17.6;OCGT;1.0
3380 biomass;0.4699999999999996;14.893617021276583;26.687;biomass;1.0
3380 onwind;1.0;2.0;32.536410849102566;onshore wind;0.07844697114145337
3380 ror;0.9;3.0;0.14;run of river;0.6608531105671129
3380 solar;1.0;1.0;365.12712285940535;solar;0.12356008534057608
3381 OCGT;0.4047067796610169;54.16558755659047;29.5;OCGT;1.0
3381 biomass;0.4699999999999996;14.893617021276583;27.748499999999996;biomass;1.0
3381 nuclear;0.33;11.378787878787879;1410.0;nuclear;1.0
3381 onwind;1.0;2.0;34.61945269253891;onshore wind;0.06202004324017177
3381 ror;0.9000000000000001;3.0;46.44780000000001;run of river;0.6608531105671127
3381 solar;1.0;1.0;396.84499899681555;solar;0.18719395858620227
3391 OCGT;0.40995445445445444;53.860093960056524;62.410000000000004;OCGT;1.0
3391 biomass;0.46999999999999914;14.893617021276558;69.0236;biomass;1.0
3391 oil;0.3332;156.06002400960384;93.6;oil;1.0
3391 onwind;1.0;2.0;52.731071726833;onshore wind;0.0391694264000651
3391 ror;0.8999999999999999;3.0;233.8052;run of river;0.6608531105671128
3391 solar;1.0;1.0;387.6005398508802;solar;0.108139176469405
3394 CCGT;0.585;38.55897435897437;120.0;CCGT;1.0
3394 biomass;0.46999999999999914;14.893617021276572;90.005;biomass;1.0
3394 onwind;1.0;2.0;78.52039476481305;onshore wind;0.04333742139680147
3394 ror;0.9000000000000001;3.0;48.251799999999996;run of river;0.6608531105671129
3394 solar;1.0;1.0;943.5866942986955;solar;0.28996703448383043
3396 biomass;0.4699999999999992;14.893617021276587;55.3373;biomass;1.0
3396 onwind;1.0;2.0;72.16196803236072;onshore wind;0.0686936449504144
3396 ror;0.8999999999999994;3.0;218.33710000000005;run of river;0.6608531105671127
3396 solar;1.0;1.0;880.9732401291715;solar;0.3533474285108409
3397 CCGT;0.5445;41.11460055096419;120.0;CCGT;1.0
3397 biomass;0.46999999999999925;14.893617021276622;49.82000000000001;biomass;1.0
